episode,total_reward,renewable_ratio,total_cost,blackout_energy,epsilon,loss_mean,eval_reward
302,10.0763,0.7526,12.6443,0.0,0.2201,0.989105,
303,-30.9235,0.7156,9.878,7.8855,0.219,1.019238,
304,-114.282,0.7404,3.3475,26.8935,0.2179,0.970213,
305,-26.2434,0.7229,10.194,8.2447,0.2168,0.95745,
306,-76.4143,0.6905,8.2752,18.0772,0.2157,1.06421,
307,-21.6626,0.7637,9.8417,7.8578,0.2146,1.004398,
308,9.3723,0.7088,14.3055,0.0,0.2136,0.977434,
309,-19.0284,0.7021,14.0076,4.6536,0.2125,1.025304,
310,-12.7793,0.6989,12.0473,2.1843,0.2114,1.08804,
311,-11.5642,0.7079,12.351,3.2788,0.2104,0.86707,
312,10.0098,0.7639,12.4549,0.0,0.2093,1.007029,
313,-55.1519,0.7056,8.4991,12.5552,0.2083,0.953843,
314,-98.939,0.7323,6.6591,22.802,0.2072,0.945764,
315,-88.014,0.7164,7.639,21.2099,0.2062,0.998358,
316,-69.7367,0.7045,10.7043,16.3468,0.2052,0.875276,
317,10.6544,0.7192,13.5588,0.0,0.2041,0.926635,
318,8.014,0.7203,14.1798,0.0,0.2031,0.973136,
319,-20.5358,0.6795,13.8481,5.1773,0.2021,0.970488,
320,-19.1449,0.7031,11.3842,6.4822,0.2011,1.035878,
321,-34.5829,0.7019,11.8312,9.4167,0.2001,1.121594,
322,-45.1033,0.7064,9.784,11.5231,0.1991,0.964846,
323,-82.5746,0.7021,7.8583,20.561,0.1981,0.951779,
324,-39.6868,0.6991,9.3759,10.6905,0.1971,0.971676,
325,-8.7035,0.7124,14.8031,2.6348,0.1961,1.007674,10.9504
326,-54.1022,0.7213,10.0842,13.2235,0.1951,0.937392,
327,-70.2643,0.7202,9.0545,16.9867,0.1942,0.988734,
328,-1.6077,0.6736,14.2118,0.0,0.1932,1.022649,
329,-35.2059,0.7518,9.5141,9.0081,0.1922,1.012269,
330,-102.1154,0.7237,5.7346,23.5842,0.1913,0.993278,
331,-0.487,0.7063,14.1472,0.8763,0.1903,1.0426,
332,5.9694,0.7238,13.9204,0.7412,0.1893,0.994547,
333,2.074,0.7249,13.5075,0.9104,0.1884,0.905747,
334,-1.8986,0.6903,15.7737,0.7212,0.1875,0.909054,
335,-62.257,0.6985,8.9084,15.0916,0.1865,1.015292,
336,10.8808,0.7153,14.0442,0.0052,0.1856,1.071333,
337,-2.2136,0.7275,14.2821,1.3179,0.1847,0.891947,
338,9.2419,0.7032,14.3401,0.0,0.1837,0.986283,
339,-28.62,0.7206,10.4967,7.7197,0.1828,1.044431,
340,9.8409,0.7209,13.7918,0.0,0.1819,0.86513,
341,-59.7586,0.715,7.7205,14.763,0.181,0.850418,
342,7.8353,0.7381,13.5174,0.0,0.1801,0.919055,
343,-39.3794,0.7189,11.7478,8.0146,0.1792,0.923455,
344,-14.8329,0.6955,12.6869,4.8399,0.1783,0.86188,
345,8.8334,0.7386,13.4048,0.0,0.1774,0.99908,
346,-97.9267,0.7137,4.9784,23.5296,0.1765,0.966929,
347,3.8478,0.7241,13.5614,0.1116,0.1756,0.928037,
348,6.3822,0.7024,15.1217,0.0,0.1748,0.940775,
349,-32.0713,0.7106,12.0283,8.1118,0.1739,0.871323,
350,-8.7491,0.7001,14.7671,1.579,0.173,0.974021,9.8798
351,4.8415,0.7632,8.3143,0.6991,0.1721,0.981613,
352,-10.396,0.7286,12.7368,2.7912,0.1713,0.971153,
353,-4.0527,0.7085,14.4925,1.8311,0.1704,0.95615,
354,-26.3114,0.715,10.8565,7.5543,0.1696,0.89019,
355,-24.9463,0.7384,11.9646,6.5674,0.1687,0.797418,
356,-1.6672,0.7072,14.4704,1.2811,0.1679,0.863918,
357,-4.436,0.7172,13.0608,3.2737,0.167,1.00553,
358,-15.3586,0.7126,12.2903,4.2226,0.1662,0.953906,
359,-31.0509,0.7385,9.4212,9.3872,0.1654,0.902706,
360,-41.1243,0.7139,10.5557,10.4295,0.1646,0.922888,
361,-26.8199,0.7463,11.6487,6.6066,0.1637,0.999896,
362,7.5604,0.7337,13.6531,0.0,0.1629,0.941824,
363,-30.8556,0.7065,11.8034,8.4108,0.1621,0.882857,
364,-3.8302,0.7341,12.7144,1.2745,0.1613,0.839516,
365,7.3855,0.7153,14.3225,0.0,0.1605,0.90998,
366,-18.6198,0.7269,10.8258,4.958,0.1597,0.764491,
367,-2.2719,0.681,14.3007,1.2579,0.1589,0.877456,
368,-61.9739,0.6636,13.613,13.5286,0.1581,0.855642,
369,15.7334,0.7456,10.7047,0.0,0.1573,0.78435,
370,8.7826,0.7247,14.1548,0.0,0.1565,0.974211,
371,-13.6811,0.7001,12.4531,5.0588,0.1557,0.714888,
372,-8.2342,0.7195,14.1742,1.5069,0.1549,0.889531,
373,10.1498,0.7323,14.8431,0.0,0.1542,0.937902,
374,-109.6801,0.7261,7.1283,24.6381,0.1534,0.936593,
375,-6.4727,0.6893,14.4174,2.0643,0.1526,0.959876,9.7996
376,-20.0934,0.7149,12.3669,6.0837,0.1519,0.824028,
377,-30.5228,0.7281,8.3414,9.6953,0.1511,0.950948,
378,-25.0927,0.7042,10.6553,6.5336,0.1504,0.907298,
379,7.8426,0.6943,14.4712,0.0,0.1496,0.893903,
380,-29.6659,0.6989,12.2809,7.8627,0.1489,0.798791,
381,-44.5216,0.6964,9.6299,11.4613,0.1481,0.89075,
382,-31.3939,0.6761,12.94,7.3102,0.1474,0.948564,
383,10.6277,0.7424,13.846,0.0,0.1466,0.828182,
384,-60.6934,0.6711,11.8326,13.693,0.1459,0.83247,
